nds_id	link_name_chn	link_length	road_class	link_type	xy	dir
5127158080877887501	王畈高架桥	415	41000	3	LINESTRING(111.577583 30.738067,111.578967 30.738587,111.580979 30.739285,111.581601 30.739483)	0
5127158248381612047	焦河中桥	61	41000	3	LINESTRING(111.646269 30.749955,111.645625 30.749922)	2
5127158321396056098	G42沪蓉高速	6721	41000	0	LINESTRING(111.769785 30.761649,111.770954 30.761536,111.773341 30.761370,111.774902 30.761290,111.775144 30.761279,111.776174 30.761247,111.778384 30.761204,111.780197 30.761220,111.782005 30.761257,111.784719 30.761386,111.786093 30.761483,111.787777 30.761628,111.788614 30.761719,111.789992 30.761864,111.792439 30.762196,111.795099 30.762625,111.796875 30.762958,111.798103 30.763205,111.799922 30.763602,111.801821 30.764058,111.803221 30.764422,111.805335 30.765029,111.808076 30.765892,111.809819 30.766493,111.811767 30.767207,111.813784 30.768006,111.815597 30.768773,111.816868 30.769342,111.818456 30.770087,111.818848 30.770280,111.820366 30.771026,111.821369 30.771487,111.823316 30.772324,111.824271 30.772705,111.825210 30.773070,111.826417 30.773504,111.827774 30.773971,111.828884 30.774325,111.829893 30.774620,111.831132 30.774969,111.832495 30.775312,111.834093 30.775682,111.834732 30.775816,111.835375 30.775951,111.836797 30.776213)	0
5127156839632338998	G42沪蓉高速	57	41000	0	LINESTRING(111.737893 30.761858,111.737292 30.761815)	2
5127158244086644750	G42沪蓉高速	52	41000	0	LINESTRING(111.630707 30.747519,111.631227 30.747653)	0
5127158265561481216	G42沪蓉高速	263	41000	0	LINESTRING(111.695965 30.749831,111.697108 30.749997,111.698674 30.750260)	0
5127159798864806149	G42沪蓉高速	290	41000	0	LINESTRING(111.859676 30.780001,111.858469 30.779690,111.856758 30.779287)	2
5127158055108083732	G42沪蓉高速	187	41000	3	LINESTRING(111.589476 30.741527,111.589154 30.741468,111.588194 30.741280,111.587561 30.741146)	2
5127159777389969428	G42沪蓉高速	30	41000	0	LINESTRING(111.882797 30.790971,111.883038 30.791148)	0
5127159777389969431	G42沪蓉高速	345	41000	0	LINESTRING(111.883038 30.791148,111.884379 30.792130,111.884766 30.792403,111.885812 30.793138)	0
5127156839632338960	G42沪蓉高速	252	41000	0	LINESTRING(111.742861 30.761949,111.744202 30.761923,111.745495 30.761869)	0
5127156852517240837	G42沪蓉高速	180	41000	3	LINESTRING(111.767907 30.761794,111.768926 30.761719,111.769785 30.761649)	0
5127158248381612167	G42沪蓉高速	65	41000	0	LINESTRING(111.651950 30.749847,111.652631 30.749820)	0
5127158256971546625	G42沪蓉高速	284	41000	0	LINESTRING(111.704103 30.751441,111.705793 30.751902,111.706924 30.752240)	0
5127158261266513926	G42沪蓉高速	221	41000	0	LINESTRING(111.665833 30.750223,111.665039 30.750153,111.663526 30.750008)	2
5127159798864805910	G42沪蓉高速	346	41000	0	LINESTRING(111.852171 30.778311,111.853641 30.778558,111.855712 30.778960)	0
5127158244086644761	G42沪蓉高速	231	41000	0	LINESTRING(111.627869 30.746902,111.629484 30.747229,111.630219 30.747401)	0
5127158248381612041	G42沪蓉高速	121	41000	0	LINESTRING(111.658151 30.749622,111.658269 30.749627,111.658784 30.749633,111.659423 30.749649)	0
